,LongName,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,valence_bucket,x,y,name_shorten
56,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,179405,4,FEFE,2,-1.27353904,8.353018852,FEFE
57,Rise,Jonas Blue,0.687,0.785,1,-4.65,1,0.0333,0.327,0,0.203,0.655,106.046,194408,4,Rise,4,0.073090269,0.170656801,Rise
58,Body (feat. brando),Loud Luxury,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44E-05,0.0543,0.582,121.958,163216,4,Body,3,0.68699334,1.11935893,Body
59,XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,182707,4,XO TOUR Llif3,3,5.137161926,-4.21589148,XO TOUR Llif3
60,Sin Pijama,Becky G,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93E-05,0.104,0.82,94.014,188560,4,Sin Pijama,5,5.958860077,-1.229462646,Sin Pijama
61,2002,Anne-Marie,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186987,4,`2002,4,4.84702067,1.448727517,2002
62,Nonstop,Drake,0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4,Nonstop,3,-2.636694609,6.151071531,Nonstop
63,Fuck Love (feat. Trippie Redd),XXXTENTACION,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4,Fuck Love,2,2.101109544,-3.559109665,Fuck Love
64,In My Blood,Shawn Mendes,0.622,0.712,5,-7.321,1,0.066,0.0573,0,0.13,0.487,140.025,211360,4,In My Blood,3,-5.119756007,-0.744792485,In My Blood
65,Silence,Marshmello,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,4,Silence,2,-6.820814482,1.175567252,Silence
66,God is a woman,Ariana Grande,0.602,0.658,1,-5.934,1,0.0558,0.0233,6.00E-05,0.237,0.268,145.031,197547,4,God is a woman,2,-4.599520211,1.41032427,God is a woman
67,D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,220117,4,Dejala Que Vuelva,5,-1.567849781,-4.690461112,Déjala Que Vuelva
68,Flames,David Guetta,0.631,0.649,5,-5.892,0,0.0385,0.0817,3.80E-06,0.0934,0.421,93.95,194680,4,Flames,3,3.674955255,-2.208560761,Flames
69,What Lovers Do,Maroon 5,0.799,0.597,5,-5.131,0,0.0611,0.0788,5.66E-06,0.1,0.419,110.001,199849,4,What Lovers Do,3,3.732256457,-2.407051723,What Lovers Do
70,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.841,0.798,1,-4.206,0,0.229,0.153,3.33E-06,0.0618,0.591,95.948,212500,4,Taki Taki,3,5.290182573,1.579925293,Taki Taki
71,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,0.663,0.708,8,-4.154,1,0.0473,0.0337,0,0.0841,0.742,103.073,174800,4,Let Me Go,4,-2.406315757,-0.641694337,Let Me Go
72,Feel It Still,Portugal. The Man,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4,Feel It Still,4,4.936596549,0.677191164,Feel It Still
73,Pray For Me (with Kendrick Lamar),The Weeknd,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17E-05,0.111,0.188,100.584,211440,4,Pray For Me,1,-5.312376851,1.998523164,Pray For Me
74,Walk It Talk It,Migos,0.909,0.628,2,-5.456,1,0.201,0.0739,0,0.108,0.406,145.905,276147,4,Walk It Talk It,3,-5.679686536,6.054359323,Walk It Talk It
75,Him & I (with Halsey),G-Eazy,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,268867,4,Him & I,1,-3.696100741,2.671834176,Him & I
76,Candy Paint,Post Malone,0.67,0.654,4,-5.944,1,0.153,0.627,1.02E-06,0.071,0.438,180.024,227533,4,Candy Paint,3,-9.171156195,-0.293868457,Candy Paint
77,Congratulations,Post Malone,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,220293,4,Congratulations,3,-1.132908972,-0.733242866,Congratulations
78,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.792,0.895,1,-3.112,0,0.0589,0.165,0,0.0501,0.794,94.968,201526,4,"1, 2, 3",4,5.92602191,1.049071608,"1, 2, 3"
79,Criminal,Natti Natasha,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33E-05,0.255,0.839,79.997,232550,4,Criminal,5,5.968265889,2.032947409,Criminal
80,Plug Walk,Rich The Kid,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,175230,4,Plug Walk,1,-4.657994247,-3.088932147,Plug Walk
81,lovely (with Khalid),Billie Eilish,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4,lovely,1,2.490574044,6.657019938,lovely
82,Stir Fry,Migos,0.815,0.816,2,-5.474,1,0.269,0.00299,0,0.159,0.498,181.967,190288,4,Stir Fry,3,-4.26877308,6.334088081,Stir Fry
83,HUMBLE.,Kendrick Lamar,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,177000,4,HUMBLE.,3,2.280086187,-3.700909188,HUMBLE.
84,Vaina Loca,Ozuna,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4,Vaina Loca,3,-1.114943973,0.526188782,Vaina Loca
85,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,3,Perfect Duet,2,1.660712835,6.156873785,Perfect Duet
86,Coraz?n (feat. Nego do Borel),Maluma,0.722,0.738,9,-6.073,0,0.247,0.328,1.47E-05,0.198,0.748,198.075,184720,4,Corazon,4,3.677941276,-5.848991374,Corazón
87,Young Dumb & Broke,Khalid,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66E-05,0.165,0.394,136.949,202547,4,Young Dumb & Broke,2,-5.729663664,3.455065258,Young Dumb & Broke
88,S?guelo Bailando,Ozuna,0.855,0.664,9,-7.11,0,0.0607,0.165,3.97E-05,0.0937,0.626,98.015,226800,4,Siguelo Bailando,4,4.880649657,-2.591561971,Síguelo Bailando
89,Downtown,Anitta,0.775,0.679,4,-4.985,0,0.135,0.18,7.26E-05,0.068,0.619,166.008,193456,4,Downtown,4,3.553822787,-4.608843654,Downtown
90,Bella,Wolfine,0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.844,94.016,197120,4,Bella,5,-1.304319371,-2.799966606,Bella
91,Promises (with Sam Smith),Calvin Harris,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91E-06,0.325,0.486,123.07,213309,4,Promises,3,8.259335462,-3.39652448,Promises
92,Yes Indeed,Lil Baby,0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,142273,4,Yes Indeed,3,-1.254733458,8.528667559,Yes Indeed
93,I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437,4,I Like Me Better,3,-0.007972803,5.423389961,I Like Me Better
94,This Is Me,Keala Settle,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4,This Is Me,1,-3.532577567,-7.40816654,This Is Me
95,Everybody Dies In Their Nightmares,XXXTENTACION,0.734,0.57,7,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,129.953,95467,4,Everybody Dies In Their Nightmares,4,2.588026152,2.372671954,Everybody Dies In Their Nightmares
96,Rewrite The Stars,Zac Efron,0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,217440,4,Rewrite The Stars,2,-6.192098936,-1.291880601,Rewrite The Stars
97,I Miss You (feat. Julia Michaels),Clean Bandit,0.638,0.658,3,-6.318,1,0.0456,0.245,3.77E-06,0.0919,0.33,105.076,205748,4,I Miss You,2,-5.190407349,1.049031941,I Miss You
98,No Brainer,DJ Khaled,0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702,260000,5,No Brainer,4,-3.006821898,-4.971600319,No Brainer
99,Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000,4,Dusk Till Dawn - Radio Edit,1,5.4706101,-8.201764037,Dusk Till Dawn - Radio Edit
100,Be Alright,Dean Lewis,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4,Be Alright,3,-8.39975215,-1.327421986,Be Alright
